"Student_ID","subject","subject_score","tile","grade","points","total_points","student_total_score","a_student","avg_student_total_points_per_grade","avg_a_student_grade_score"
70,"Art",100,6,"A",10,37,565,1,41.06,568.817158931083
96,"Art",100,6,"A",10,45,601,1,41.06,568.817158931083
149,"Art",100,6,"A",10,47,605,1,41.06,568.817158931083
202,"Art",100,6,"A",10,38,569,1,41.06,568.817158931083
207,"Art",100,6,"A",10,31,539,1,41.06,568.817158931083
213,"Art",100,6,"A",10,30,539,1,41.06,568.817158931083
235,"Art",100,6,"A",10,44,580,1,41.06,568.817158931083
274,"Art",100,6,"A",10,39,571,1,41.06,568.817158931083
300,"Art",100,6,"A",10,52,621,1,41.06,568.817158931083
323,"Art",100,6,"A",10,44,597,1,41.06,568.817158931083
336,"Art",100,6,"A",10,39,571,1,41.06,568.817158931083
358,"Art",100,6,"A",10,48,601,1,41.06,568.817158931083
363,"Art",100,6,"A",10,40,580,1,41.06,568.817158931083
430,"Art",100,6,"A",10,36,564,1,41.06,568.817158931083
438,"Art",100,6,"A",10,42,576,1,41.06,568.817158931083
605,"Art",100,6,"A",10,44,588,1,41.06,568.817158931083
608,"Art",100,6,"A",10,45,595,1,41.06,568.817158931083
628,"Art",100,6,"A",10,40,567,1,41.06,568.817158931083
635,"Art",100,6,"A",10,43,584,1,41.06,568.817158931083
647,"Art",100,6,"A",10,29,526,1,41.06,568.817158931083
679,"Art",100,6,"A",10,37,568,1,41.06,568.817158931083
688,"Art",100,6,"A",10,31,554,1,41.06,568.817158931083
739,"Art",100,6,"A",10,34,559,1,41.06,568.817158931083
838,"Art",100,6,"A",10,41,584,1,41.06,568.817158931083
859,"Art",100,6,"A",10,32,540,1,41.06,568.817158931083
874,"Art",100,6,"A",10,58,647,1,41.06,568.817158931083
887,"Art",100,6,"A",10,58,637,1,41.06,568.817158931083
895,"Art",100,6,"A",10,42,585,1,41.06,568.817158931083
934,"Art",100,6,"A",10,40,577,1,41.06,568.817158931083
940,"Art",100,6,"A",10,46,595,1,41.06,568.817158931083
961,"Art",100,6,"A",10,54,620,1,41.06,568.817158931083
973,"Art",100,6,"A",10,48,604,1,41.06,568.817158931083
56,"Art",99,6,"A",10,55,628,1,41.06,568.817158931083
82,"Art",99,6,"A",10,30,556,1,41.06,568.817158931083
90,"Art",99,6,"A",10,41,578,1,41.06,568.817158931083
144,"Art",99,6,"A",10,39,567,1,41.06,568.817158931083
211,"Art",99,6,"A",10,27,514,1,41.06,568.817158931083
229,"Art",99,6,"A",10,39,579,1,41.06,568.817158931083
269,"Art",99,6,"A",10,39,567,1,41.06,568.817158931083
322,"Art",99,6,"A",10,40,582,1,41.06,568.817158931083
547,"Art",99,6,"A",10,45,596,1,41.06,568.817158931083
632,"Art",99,6,"A",10,34,556,1,41.06,568.817158931083
784,"Art",99,6,"A",10,42,587,1,41.06,568.817158931083
928,"Art",99,6,"A",10,55,617,1,41.06,568.817158931083
944,"Art",99,6,"A",10,42,578,1,41.06,568.817158931083
4,"Art",98,6,"A",10,44,584,1,41.06,568.817158931083
35,"Art",98,6,"A",10,52,617,1,41.06,568.817158931083
36,"Art",98,6,"A",10,33,544,1,41.06,568.817158931083
76,"Art",98,6,"A",10,34,558,1,41.06,568.817158931083
134,"Art",98,6,"A",10,41,574,1,41.06,568.817158931083
141,"Art",98,6,"A",10,44,580,1,41.06,568.817158931083
205,"Art",98,6,"A",10,26,521,1,41.06,568.817158931083
225,"Art",98,6,"A",10,43,588,1,41.06,568.817158931083
285,"Art",98,6,"A",10,43,578,1,41.06,568.817158931083
294,"Art",98,6,"A",10,41,580,1,41.06,568.817158931083
306,"Art",98,6,"A",10,28,533,1,41.06,568.817158931083
335,"Art",98,6,"A",10,38,563,1,41.06,568.817158931083
408,"Art",98,6,"A",10,39,565,1,41.06,568.817158931083
470,"Art",98,6,"A",10,39,566,1,41.06,568.817158931083
526,"Art",98,6,"A",10,40,568,1,41.06,568.817158931083
574,"Art",98,6,"A",10,35,559,1,41.06,568.817158931083
606,"Art",98,6,"A",10,38,572,1,41.06,568.817158931083
618,"Art",98,6,"A",10,29,539,1,41.06,568.817158931083
657,"Art",98,6,"A",10,44,595,1,41.06,568.817158931083
693,"Art",98,6,"A",10,54,624,1,41.06,568.817158931083
803,"Art",98,6,"A",10,52,621,1,41.06,568.817158931083
825,"Art",98,6,"A",10,26,525,1,41.06,568.817158931083
846,"Art",98,6,"A",10,52,619,1,41.06,568.817158931083
860,"Art",98,6,"A",10,37,556,1,41.06,568.817158931083
864,"Art",98,6,"A",10,44,579,1,41.06,568.817158931083
920,"Art",98,6,"A",10,42,589,1,41.06,568.817158931083
999,"Art",98,6,"A",10,27,518,1,41.06,568.817158931083
1000,"Art",98,6,"A",10,34,556,1,41.06,568.817158931083
46,"Art",97,6,"A",10,37,568,1,41.06,568.817158931083
102,"Art",97,6,"A",10,46,605,1,41.06,568.817158931083
119,"Art",97,6,"A",10,41,578,1,41.06,568.817158931083
226,"Art",97,6,"A",10,36,552,1,41.06,568.817158931083
247,"Art",97,6,"A",10,30,540,1,41.06,568.817158931083
275,"Art",97,6,"A",10,39,570,1,41.06,568.817158931083
284,"Art",97,6,"A",10,38,560,1,41.06,568.817158931083
326,"Art",97,6,"A",10,47,590,1,41.06,568.817158931083
337,"Art",97,6,"A",10,47,603,1,41.06,568.817158931083
373,"Art",97,6,"A",10,35,554,1,41.06,568.817158931083
411,"Art",97,6,"A",10,42,589,1,41.06,568.817158931083
546,"Art",97,6,"A",10,46,592,1,41.06,568.817158931083
558,"Art",97,6,"A",10,48,605,1,41.06,568.817158931083
573,"Art",97,6,"A",10,37,555,1,41.06,568.817158931083
630,"Art",97,6,"A",10,39,568,1,41.06,568.817158931083
634,"Art",97,6,"A",10,48,605,1,41.06,568.817158931083
684,"Art",97,6,"A",10,52,608,1,41.06,568.817158931083
816,"Art",97,6,"A",10,46,590,1,41.06,568.817158931083
871,"Art",97,6,"A",10,50,614,1,41.06,568.817158931083
912,"Art",97,6,"A",10,46,585,1,41.06,568.817158931083
953,"Art",97,6,"A",10,42,573,1,41.06,568.817158931083
997,"Art",97,6,"A",10,56,630,1,41.06,568.817158931083
21,"Art",96,6,"A",10,37,569,1,41.06,568.817158931083
25,"Art",96,6,"A",10,47,596,1,41.06,568.817158931083
50,"Art",96,6,"A",10,26,523,1,41.06,568.817158931083
146,"Art",96,6,"A",10,44,590,1,41.06,568.817158931083
216,"Art",96,6,"A",10,43,578,1,41.06,568.817158931083
228,"Art",96,6,"A",10,42,575,1,41.06,568.817158931083
240,"Art",96,6,"A",10,43,584,1,41.06,568.817158931083
301,"Art",96,6,"A",10,30,531,1,41.06,568.817158931083
377,"Art",96,6,"A",10,49,613,1,41.06,568.817158931083
475,"Art",96,6,"A",10,46,596,1,41.06,568.817158931083
508,"Art",96,6,"A",10,40,576,1,41.06,568.817158931083
557,"Art",96,6,"A",10,37,564,1,41.06,568.817158931083
584,"Art",96,6,"A",10,35,556,1,41.06,568.817158931083
587,"Art",96,6,"A",10,35,558,1,41.06,568.817158931083
592,"Art",96,6,"A",10,40,572,1,41.06,568.817158931083
623,"Art",96,6,"A",10,27,519,1,41.06,568.817158931083
624,"Art",96,6,"A",10,55,625,1,41.06,568.817158931083
764,"Art",96,6,"A",10,58,639,1,41.06,568.817158931083
823,"Art",96,6,"A",10,43,582,1,41.06,568.817158931083
828,"Art",96,6,"A",10,42,576,1,41.06,568.817158931083
834,"Art",96,6,"A",10,41,574,1,41.06,568.817158931083
868,"Art",96,6,"A",10,44,582,1,41.06,568.817158931083
880,"Art",96,6,"A",10,21,503,1,41.06,568.817158931083
881,"Art",96,6,"A",10,30,533,1,41.06,568.817158931083
980,"Art",96,6,"A",10,33,556,1,41.06,568.817158931083
992,"Art",96,6,"A",10,30,539,1,41.06,568.817158931083
63,"Art",95,6,"A",10,49,610,1,41.06,568.817158931083
113,"Art",95,6,"A",10,39,571,1,41.06,568.817158931083
180,"Art",95,6,"A",10,48,608,1,41.06,568.817158931083
197,"Art",95,6,"A",10,51,607,1,41.06,568.817158931083
252,"Art",95,6,"A",10,43,590,1,41.06,568.817158931083
255,"Art",95,6,"A",10,39,571,1,41.06,568.817158931083
280,"Art",95,6,"A",10,41,577,1,41.06,568.817158931083
360,"Art",95,6,"A",10,40,570,1,41.06,568.817158931083
382,"Art",95,6,"A",10,56,627,1,41.06,568.817158931083
418,"Art",95,6,"A",10,40,573,1,41.06,568.817158931083
672,"Art",95,6,"A",10,46,595,1,41.06,568.817158931083
751,"Art",95,6,"A",10,29,530,1,41.06,568.817158931083
763,"Art",95,6,"A",10,34,552,1,41.06,568.817158931083
795,"Art",95,6,"A",10,38,564,1,41.06,568.817158931083
812,"Art",95,6,"A",10,29,527,1,41.06,568.817158931083
891,"Art",95,6,"A",10,52,615,1,41.06,568.817158931083
898,"Art",95,6,"A",10,33,547,1,41.06,568.817158931083
932,"Art",95,6,"A",10,49,607,1,41.06,568.817158931083
958,"Art",95,6,"A",10,36,551,1,41.06,568.817158931083
7,"Art",94,6,"A",10,40,573,1,41.06,568.817158931083
40,"Art",94,6,"A",10,26,526,1,41.06,568.817158931083
57,"Art",94,6,"A",10,48,606,1,41.06,568.817158931083
79,"Art",94,6,"A",10,29,533,1,41.06,568.817158931083
209,"Art",94,6,"A",10,43,590,1,41.06,568.817158931083
279,"Art",94,6,"A",10,40,568,1,41.06,568.817158931083
288,"Art",94,6,"A",10,39,569,1,41.06,568.817158931083
339,"Art",94,6,"A",10,44,588,1,41.06,568.817158931083
544,"Art",94,6,"A",10,53,615,1,41.06,568.817158931083
545,"Art",94,6,"A",10,25,515,1,41.06,568.817158931083
548,"Art",94,6,"A",10,34,541,1,41.06,568.817158931083
551,"Art",94,6,"A",10,52,613,1,41.06,568.817158931083
639,"Art",94,6,"A",10,44,590,1,41.06,568.817158931083
714,"Art",94,6,"A",10,29,525,1,41.06,568.817158931083
760,"Art",94,6,"A",10,43,581,1,41.06,568.817158931083
769,"Art",94,6,"A",10,44,581,1,41.06,568.817158931083
904,"Art",94,6,"A",10,46,597,1,41.06,568.817158931083
929,"Art",94,6,"A",10,39,558,1,41.06,568.817158931083
945,"Art",94,6,"A",10,49,604,1,41.06,568.817158931083
11,"Art",93,5,"B",8,45,592,1,38.88,568.817158931083
101,"Art",93,5,"B",8,42,587,0,38.88,568.817158931083
111,"Art",93,5,"B",8,30,533,0,38.88,568.817158931083
130,"Art",93,5,"B",8,52,618,1,38.88,568.817158931083
151,"Art",93,5,"B",8,48,613,0,38.88,568.817158931083
183,"Art",93,5,"B",8,27,528,0,38.88,568.817158931083
244,"Art",93,5,"B",8,38,561,1,38.88,568.817158931083
261,"Art",93,5,"B",8,34,547,1,38.88,568.817158931083
295,"Art",93,5,"B",8,44,594,1,38.88,568.817158931083
321,"Art",93,5,"B",8,52,619,1,38.88,568.817158931083
465,"Art",93,5,"B",8,44,602,1,38.88,568.817158931083
498,"Art",93,5,"B",8,42,577,1,38.88,568.817158931083
589,"Art",93,5,"B",8,37,559,1,38.88,568.817158931083
595,"Art",93,5,"B",8,34,555,1,38.88,568.817158931083
687,"Art",93,5,"B",8,56,627,1,38.88,568.817158931083
735,"Art",93,5,"B",8,39,578,1,38.88,568.817158931083
779,"Art",93,5,"B",8,29,540,1,38.88,568.817158931083
797,"Art",93,5,"B",8,31,535,0,38.88,568.817158931083
837,"Art",93,5,"B",8,54,617,1,38.88,568.817158931083
855,"Art",93,5,"B",8,52,621,1,38.88,568.817158931083
857,"Art",93,5,"B",8,47,602,1,38.88,568.817158931083
875,"Art",93,6,"A",10,36,549,1,41.06,568.817158931083
901,"Art",93,6,"A",10,44,579,1,41.06,568.817158931083
933,"Art",93,6,"A",10,32,539,1,41.06,568.817158931083
950,"Art",93,6,"A",10,39,556,1,41.06,568.817158931083
951,"Art",93,6,"A",10,45,579,1,41.06,568.817158931083
975,"Art",93,6,"A",10,45,586,1,41.06,568.817158931083
981,"Art",93,6,"A",10,46,583,1,41.06,568.817158931083
3,"Art",92,5,"B",8,36,562,0,38.88,568.817158931083
24,"Art",92,5,"B",8,46,604,1,38.88,568.817158931083
45,"Art",92,5,"B",8,40,571,1,38.88,568.817158931083
54,"Art",92,5,"B",8,44,587,1,38.88,568.817158931083
114,"Art",92,5,"B",8,35,567,0,38.88,568.817158931083
138,"Art",92,5,"B",8,38,561,1,38.88,568.817158931083
203,"Art",92,5,"B",8,56,631,1,38.88,568.817158931083
224,"Art",92,5,"B",8,28,526,0,38.88,568.817158931083
272,"Art",92,5,"B",8,51,610,1,38.88,568.817158931083
282,"Art",92,5,"B",8,48,604,1,38.88,568.817158931083
309,"Art",92,5,"B",8,36,554,0,38.88,568.817158931083
341,"Art",92,5,"B",8,44,581,1,38.88,568.817158931083
348,"Art",92,5,"B",8,28,541,0,38.88,568.817158931083
423,"Art",92,5,"B",8,29,539,0,38.88,568.817158931083
462,"Art",92,5,"B",8,33,547,1,38.88,568.817158931083
472,"Art",92,5,"B",8,35,564,0,38.88,568.817158931083
600,"Art",92,5,"B",8,51,620,1,38.88,568.817158931083
709,"Art",92,5,"B",8,30,541,0,38.88,568.817158931083
716,"Art",92,5,"B",8,34,550,1,38.88,568.817158931083
740,"Art",92,5,"B",8,46,599,1,38.88,568.817158931083
748,"Art",92,5,"B",8,28,536,0,38.88,568.817158931083
766,"Art",92,5,"B",8,47,603,1,38.88,568.817158931083
844,"Art",92,5,"B",8,50,605,1,38.88,568.817158931083
850,"Art",92,5,"B",8,39,580,1,38.88,568.817158931083
890,"Art",92,5,"B",8,42,577,0,38.88,568.817158931083
935,"Art",92,5,"B",8,38,564,1,38.88,568.817158931083
936,"Art",92,5,"B",8,44,592,1,38.88,568.817158931083
988,"Art",92,5,"B",8,46,599,1,38.88,568.817158931083
23,"Art",91,5,"B",8,52,616,1,38.88,568.817158931083
47,"Art",91,5,"B",8,41,585,1,38.88,568.817158931083
51,"Art",91,5,"B",8,46,594,1,38.88,568.817158931083
120,"Art",91,5,"B",8,31,546,0,38.88,568.817158931083
124,"Art",91,5,"B",8,38,565,1,38.88,568.817158931083
195,"Art",91,5,"B",8,33,556,0,38.88,568.817158931083
432,"Art",91,5,"B",8,40,573,0,38.88,568.817158931083
436,"Art",91,5,"B",8,27,525,0,38.88,568.817158931083
443,"Art",91,5,"B",8,32,541,0,38.88,568.817158931083
539,"Art",91,5,"B",8,48,602,1,38.88,568.817158931083
552,"Art",91,5,"B",8,30,534,0,38.88,568.817158931083
556,"Art",91,5,"B",8,40,573,0,38.88,568.817158931083
581,"Art",91,5,"B",8,48,601,1,38.88,568.817158931083
641,"Art",91,5,"B",8,45,585,1,38.88,568.817158931083
654,"Art",91,5,"B",8,49,611,1,38.88,568.817158931083
744,"Art",91,5,"B",8,40,564,1,38.88,568.817158931083
831,"Art",91,5,"B",8,43,582,1,38.88,568.817158931083
833,"Art",91,5,"B",8,52,621,1,38.88,568.817158931083
835,"Art",91,5,"B",8,35,550,0,38.88,568.817158931083
849,"Art",91,5,"B",8,40,570,1,38.88,568.817158931083
865,"Art",91,5,"B",8,47,594,1,38.88,568.817158931083
907,"Art",91,5,"B",8,26,517,0,38.88,568.817158931083
923,"Art",91,5,"B",8,41,573,1,38.88,568.817158931083
